ELEUTERIO RAMIREZ;273;-454.060.441;-727.021.353;273;Eleuterio Ramírez;Puerto Aysen;Puerto Aysen;Aysen;Aysen;XI Región;XI Región;CL;Chile;10897690;RANGE_INTERPOLATED
CALLE CAMINO REAL INT;3240;-330.333.062;-715.811.772;3240;Camino Real Int;Viña;Viña del Mar;Valparaiso;Valparaiso;Región de Valparaíso;Región de Valparaíso;CL;Chile;144286;RANGE_INTERPOLATED
AVDA CORONEL ARTILLERIA LUIS CARRERA;1473;-358.355.351;-71.573.197;1473;Coronel Artillería Luis Carrera;Linares;Linares;Linares;Linares;VII Región;VII Región;CL;Chile;153561;RANGE_INTERPOLATED
AVENIDA LAS FLORES;10;-370.327.009;-723.964.965;10;Avenida Las Flores;Cabrero;Cabrero;Región del Bío Bío;Región del Bío Bío;CL;Chile;S/N;S/N;161325;RANGE_INTERPOLATED
AVENIDA OSA;1156;-334.443.848;-707.568.699;1156;Osa Mayor;Pudahuel;Pudahuel;Santiago;Santiago;Región Metropolitana;Región Metropolitana;CL;Chile;179633;RANGE_INTERPOLATED
AVENIDA SAN PEDRO DEL VALLE;1998;-368.467.673;-731.187.575;1998;Avenida Parque San Pedro del Valle;San Pedro de la Paz;San Pedro de la Paz;Concepcion;Concepcion;Región Metropolitana;Región Metropolitana;CL;Chile;10969397;RANGE_INTERPOLATED
JOSE P ALESSANDI;3183;-334.919.253;-706.004.828;3183;José Pedro Alessandri;Macul;Macul;Santiago;Santiago;Región Metropolitana;Región Metropolitana;CL;Chile;247316;RANGE_INTERPOLATED
PJE COSME;3421;-335.416.792;-705.543.553;3421;San Cosme;La Florida;La Florida;Santiago;Santiago;Región Metropolitana;Región Metropolitana;CL;Chile;10865722;ROOFTOP
HECTOR MILLAN;2316;-341.603.794;-706.990.418;2316;Héctor Millán Vergara;Rancagua;Rancagua;Cachapoal;Cachapoal;VI Región;VI Región;CL;Chile;8931171;RANGE_INTERPOLATED
PASAJE BARAHONA;1;-33.002.735;-714.783.946;1;Norma Barahona;Viña;Viña del Mar;Valparaiso;Valparaiso;Región de Valparaíso;Región de Valparaíso;CL;Chile;10716949;RANGE_INTERPOLATED
EXEQUIEL FERNANDEZ;2472;-334.774.471;-706.012.825;2472;Exequiel Fernandez;Macul;Macul;Santiago;Santiago;Región Metropolitana;Región Metropolitana;CL;Chile;404920;ROOFTOP
P. A. CERDA;1927;-40.575.742;-731.137.387;2169;M Fernández;Osorno;Osorno;X Región;X Región;CL;Chile;S/N;S/N;410091;ROOFTOP
CALLE 7;823;-328.335.423;-70.577.231;823;Calle Calle;Los Andes;Los Andes;Los Andes;Los Andes;Región de Valparaíso;Región de Valparaíso;CL;Chile;445043;RANGE_INTERPOLATED
MANUEL VARAS;529;-39.537.411;-729.555.848;529;Manuel Varas;Mariquina;Mariquina;Región de los Ríos;Región de los Ríos;CL;Chile;S/N;S/N;10228413;ROOFTOP
SANTA FILOMENA;2591;-327.810.847;-715.288.664;1442;Francia;Quintero;Quintero;Valparaiso;Valparaiso;Región de Valparaíso;Región de Valparaíso;CL;Chile;10612572;ROOFTOP
AVDA FRANCISCO BILBAO;1881;-334.384.796;-706.102.603;1881;Avenida Francisco Bilbao;Providencia;Providencia;Santiago;Santiago;Región Metropolitana;Región Metropolitana;CL;Chile;10379070;RANGE_INTERPOLATED
KURT MOLLER;67;-358.440.452;-716.020.915;67;Kurt Moller;Linares;Linares;Linares;Linares;VII Región;VII Región;CL;Chile;10096322;RANGE_INTERPOLATED
PARCELA;11;-336.951.874;-709.706.322;11;Parcela Treinta;Talagante;Talagante;Región Metropolitana;Región Metropolitana;CL;Chile;S/N;S/N;511055;RANGE_INTERPOLATED
VILLA ALEGRE;560;-387.543.113;-725.900.907;560;Villa Alegre;Padre las Casas;Padre las Casas;Cautín;Cautín;IX Región;IX Región;CL;Chile;511530;RANGE_INTERPOLATED
PASAJE SGTO ROJAS;4742;-334.590.427;-707.007.654;4742;Sargento Rojas;Santiago;Santiago;Santiago;Santiago;Región Metropolitana;Región Metropolitana;CL;Chile;517152;ROOFTOP
